Study.name,Group,Full.name,WL.num,Sample.type,Study.stage,Days.since.Tx.start,Treatment.days,Washout.period,CFU,Adjusted.16S.Original,Culture.status,CFU_LOD,uL.template.RTP.16S.Original,cDNA.dilution.RTP.16S.Original,Median.Count.RTP.16S.Original,uL.RNA.into.RT.RTP.16S.Original,T50,T50_ci_low,T50_ci_up,T95,T95_ci_low,T95_ci_up
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_3wk_Grp 3: PaMZ_LG D,5797,mouse,On Treatment,21,21,0,1280,451314802.2,NA,NA,2,10,120350.6139,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_3wk_Grp 3: PaMZ_LG E,5798,mouse,On Treatment,21,21,0,443,410296744.5,NA,NA,2,10,109412.4652,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_3wk_Grp 3: PaMZ_LG F,5799,mouse,On Treatment,21,21,0,1520,495478007.4,NA,NA,2,10,132127.4687,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_3wk_Grp 4: BPaL_LG A,5800,mouse,On Treatment,21,21,0,1130,451461198.6,NA,NA,2,10,120389.653,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_3wk_Grp 4: BPaL_LG B,5801,mouse,On Treatment,21,21,0,1520,443689846.8,NA,NA,2,10,118317.2924,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_3wk_Grp 4: BPaL_LG C,5802,mouse,On Treatment,21,21,0,2660,1221130616,NA,NA,2,10,325634.8308,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_3wk_Grp 4: BPaL_LG D,5803,mouse,On Treatment,21,21,0,1370,925788102.9,NA,NA,2,10,246876.8274,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_3wk_Grp 4: BPaL_LG E,5804,mouse,On Treatment,21,21,0,4330,569627927.1,NA,NA,2,10,151900.7806,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_3wk_Grp 4: BPaL_LG F,5805,mouse,On Treatment,21,21,0,1040,422593151.7,NA,NA,2,10,112691.5071,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_3wk_Grp 5: BPaMZ_LG A,5806,mouse,On Treatment,21,21,0,60,398085315.3,NA,NA,2,10,106156.0841,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
