"Study.name","Group","Treatment.days","Study.stage","Days.since.Tx.start","Washout.period","CFU","Culture.status","Adjusted.16S.Original","T50","T50_ci_low","T50_ci_up","T95","T95_ci_low","T95_ci_up","T95_SE"
"Gates-BC-Rel-01","BPaL",28,"On Treatment",28,"no washout",218,"Positive",294391526,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",21887738,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",12629572,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",36416008,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaMZ",14,"On Treatment",14,"no washout",5000,"Positive",291494793,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",21,"On Treatment",21,"no washout",52.5,"Positive",715180889,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",28,"On Treatment",28,"no washout",6.52,"Positive",202606103,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",28,"On Treatment",28,"no washout",9.78,"Positive",196894294,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",28,"On Treatment",28,"no washout",3.26,"Positive",144957590,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",28,"On Treatment",28,"no washout",1.63,"Negative",114410182,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",14,"On Treatment",14,"no washout",6250,"Positive",496284865,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",28,"On Treatment",28,"no washout",1.63,"Negative",146046717,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",21,"On Treatment",21,"no washout",60,"Positive",398085315,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",21,"On Treatment",21,"no washout",30,"Positive",368878894,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",21,"On Treatment",21,"no washout",15,"Positive",388159689,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",14,"On Treatment",14,"no washout",4500,"Positive",303642516,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",21,"On Treatment",21,"no washout",82.5,"Positive",299625651,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",56,"On Treatment",56,"no washout",1.63,"Negative",10259613,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",56,"On Treatment",56,"no washout",1.63,"Negative",11726266,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",56,"On Treatment",56,"no washout",1.63,"Negative",14164949,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",56,"On Treatment",56,"no washout",1.63,"Negative",18517026,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",56,"On Treatment",56,"no washout",1.63,"Negative",9961142,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",56,"On Treatment",56,"no washout",1.63,"Negative",17373702,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",28,"On Treatment",28,"no washout",1.63,"Negative",173791583,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
