"Group","Study.name","Treatment.days","mean_CFU","mean_16S_rRNA","T50","T50_ci_low","T50_ci_up","T95","T95_ci_low","T95_ci_up","T95_SE"
"PaMZ","Gates-BC-Rel-01",14,5.33053070993704,9.07450647197259,10.9916884864355,10.4365956898173,11.5467812830537,13.153039789056,12.5979469924378,13.7081325856742,0.283210610519491
"PaMZ","Gates-BC-Rel-01",140,0.212187604403958,6.99292918071392,10.9916884864355,10.4365956898173,11.5467812830537,13.153039789056,12.5979469924378,13.7081325856742,0.283210610519491
"PaMZ","Gates-BC-Rel-01",28,2.28379073179628,8.46369990206859,10.9916884864355,10.4365956898173,11.5467812830537,13.153039789056,12.5979469924378,13.7081325856742,0.283210610519491
"PaMZ","Gates-BC-Rel-01",84,0.212187604403958,7.34515520425985,10.9916884864355,10.4365956898173,11.5467812830537,13.153039789056,12.5979469924378,13.7081325856742,0.283210610519491
"PaMZ","Gates-BC-Rel-01",112,0.212187604403958,6.32247782898687,10.9916884864355,10.4365956898173,11.5467812830537,13.153039789056,12.5979469924378,13.7081325856742,0.283210610519491
"PreRx","Crush-TB-Substudy",0,7.27528162888703,9.76208858607466,NA,NA,NA,NA,NA,NA,NA
"PreRx","Gates-BC-Rel-01",0,7.23832487582122,9.18494351384701,NA,NA,NA,NA,NA,NA,NA
"PreRx","TBDA-BC-Rel-01",0,7.57081665519807,8.71904191039529,NA,NA,NA,NA,NA,NA,NA
"PZM","Crush-TB-Substudy",14,5.9399563526167,9.34596315667725,7.69925402256144,5.73833393803265,9.66017410709023,9.21319728354499,7.2522771990162,11.1741173680738,1.00046943088204
"PZM","Crush-TB-Substudy",28,3.64364998739359,7.84470053584276,7.69925402256144,5.73833393803265,9.66017410709023,9.21319728354499,7.2522771990162,11.1741173680738,1.00046943088204
